,cell abundance (cells/L) (last letter: S=surface; B=bottom),A4S,B3S,C1S,D3S,E1S,F2S,H4S,I2S,J2S,K2S,A4S,B3S,C1S,D3S,E1S,F2S,H4S,I2S,J2S,K2S,A4S,B3S,C1S,D3S,E1S,F2S,H4S,I2S,J2S,K2S,A4S,B3S,C1S,D3S,E1S,F2S,H4S,I2S,J2S,K2S,A4S,B3S,C1S,D3S,E1S,F2S,H4S,I2S,J2S,K2S,A4S,B3S,C1S,D3S,E1S,F2S,H4S,I2S,J2S,K2S,A4S,B3S,C1S,D3S,E1S,F2S,H4S,I2S,J2S,K2S,A4B (a lot of debris),B3B (less debris than A4B),C1B,D3B,E1B,F2B,H4B,I2B,J2B,K2B,A4S,B3S,C1S,D3S from McManus Lab,E1S,F2S,H4S,I2S,J2S,K2S,"A4B Eutreptiella bloom, a lot of debris",B3B,C1B,"D3B W/o Lugol's added, data not used in analysis",E1B,F2B,H4B,I2B few cells,J2B,K2B,A4S,"B3S w/o lugol's added, but the sample was still good ",C1S,D3S,E1S,F2S,H4S,I2S,J1S,K2S,A4B,B3B,C1B,D3B,E1B,F2B,H4B,I2B,J1B,K2B,A4S,B3S,C1S,D1S,E1S,F2S,H4S,I2S,J2S,K2S,A4B,B3B,C1B,D1B,E1B,F2B,H4B,I2B,J2B,K2B,A4S,B3S,C1S,D3S,E1S,F2S,H4S,I2S,J2,K2S,A4B,B3B,C1B,D3B,E1B,F2B,H4B,I2B,J2,K2B,A4S (a lot of debris),B3S,C1S,D3S,E1S,F2 S,H4S,I2S (large amount of debris),J2S,K2S,A4B,B3B,C1B,D3B,E1B,F2 B,H4B,I2B,J2B,K2B
Pleurosigma,Pleurosigma angulatum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pleurosigma,Pleurosigma directum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pleurosigma falx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pleurosigma normanii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pleurosigma spp.,1452,,1452,,880,,,,,1452,,,,,,1452,,,1452,2904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1452,,,,,,,,,,,1452,,,1452,8800,,8800,,4400,,,,,,,,,,,,1452,1452,,1452,1452,,,,,,4400,1452,,1452,1452,,4400,,,,1452,,1452,1452,,,,,,,2904,,,7304,,,,,,,1452,,,1452,,,,,,,,,1452,4400,1452,,,1452,,,,,,,2904,,,,1452,2904,1452,,1452,,,1452,,,1452,,2904,1452,1452,4400,1452
Pseudo-nitzschia,Pseudo-nitzschia spp.,,,,,1452,,,880,,,35200,30800,5852,17600,,4400,7304,8800,1452,,17600,13200,8800,26400,17600,30800,,13200,30800,1452,1.33,8800,8800,13200,8800,13200,1452,8800,,13200,,8800,,,,,15086,,,,,,4400,,,,,,,,4400,1452,,,,,,,,,,,1452,,,,,2904,2904,1452,,,,,,,,,,,,,,,,,,,1452,,,22000,13200,26400,52800,26400,105600,17600,26400,52800,,,17600,8800,,13200,1452,1452,26400,22000,,,,,,,,1452,5852,22000,,,,,13200,1452,,1452,,,,1452,,,,,,,2904,,,,,,,,,,,,,2904,,4400,,1452,1452,,,,8800,,1452,,,,,,,
,Pseudo-nitzschia delicatissima,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pseudo-nitzschia pungens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2904,13200,10252,,,,,,,,,,,,,,,8800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhabdonema,Rhabdonema adriaticum,,,,,,,,880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17600,,,,,,,,,,,,,,,,,,,
,Rhaphoneis rhomoides,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rhaphoneis spp.,,,,,,,4400,1760,880,4400,,,,,,,,,,17600,,,,,,,1452,1452,5852,5852,,,,,,,,,,880,,,,,,,,,,1452,,,,,,,,,4400,11704,,,,,,,,,1452,1452,,,,,,,,2904,2904,,,,,,,,,,,,,,,,,,0.33,,1452,,,,,,,,,,,,,,,,,,,,,,,,,,,,1452,,,,,,,,,1452,,,,,,,,,,,,,,,,,,,,,,13200,17600,8800,,,,,,,1452,1452,4400,2904,,,,,,,,2904,4400,
Rhizosolenia,Rhizosolenia alata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rhizosolenia calar-avis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rhizosolenia longiseta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rhizosolenia pungens,5852,,57200,44000,48400,8800,5852,2200,,4400,30800,,,,,,,,,,,,,,,,,,,,,1452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rhizosolenia robusta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rhizosolenia setigera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1452,1452,,1452,2904,1452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rhizosolenia stolterfothii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rhizosolenia styliformis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rhizosolenia spp.,,,,,,,,,,,,13200,26400,39600,44000,13200,13200,13200,8800,4400,17600,8800,13200,17600,8800,8800,13200,17600,17600,,8800,17600,8800,2904,1452,880,,,4400,2904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1452,,,8800,2904,,,,4400,,,,1452,,,,,,,,,,,,,,,,,,,,,,,,,,4400,,,,,,1452,,,,1452,,,,,1452,,,,,,,,,,1452,8800,,,,,,,,,,,,,,,,,,,,,,1452,,,,2904,,,,,,,,,,,,,,
Rhoicosphenia,Rhoicosphenia curvata,,,,,,,,,,,,,,,,,,,1452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhopalodia,Rhopalodia musculus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schröderella,Schröderella delicatula ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seminavis,Seminavis robusta,,,,,1452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skeletonema,Skeletonema spp.,39600,,176000,255200,3396800,435600,154000,44000,48400,44000,3700400,3225200,3392400,3520000,132000,2156000,1254000,1381600,831600,400400,312400,44000,215600,620400,180400,92400,466400,180400,488400,44000,488400,444400,426800,198000,17600,83600,26400,26400,52800,61600,264000,250800,576400,316800,347600,101200,60343,17600,8800,44000,148800,,,,,,,,30800,22000,4444000,836000,110000,57200,149600,79200,,,96800,35200,48400,44000,13200,44000,,22000,,5852,57200,312400,66000,211200,74800,202400,8800,255200,506000,,17600,17600,26400,158400,132000,79200,132000,325600,110000,5852,11704,4400,30800,35200,,492800,545600,132000,400400,17600,286000,677600,,4400,13200,74800,79200,57200,,220000,409200,105600,35200,,,2904,10252,8800,35200,264000,22000,88000,,,22000,22000,,,13200,74800,66000,92400,5852,26400,,,,,,,8800,44000,8800,26400,,,,,8800,,,,110000,13200,17600,92400,52800,17600,26400,39600,35200,57200,17600,44000,22000,,13200,26400,13200,26400,132000,39600
Stephanopyxis,Stephanopyxis turris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Streptotheca,Streptotheca indica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Surirella,Surirella fluminensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Surirella spp.,,,,,,,880,,,1452,,,,,,,1452,,,2904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thalassionema,Thalassionema frauenfeldii,,,,,,,,,,,,,,,,,,,,,,,,,13200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13200,17600,4400,,,,,,,,,,,,,,4400,4400,1452,2904,,,,,,,,,,,,,,,,,,17600,5852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1452,,4400,1452,,,,2904,,,,,,,,,,
,Thalassionema nitzschiodes,35200,,114400,118800,268400,30800,48400,61600,26400,8800,202400,79200,325600,237600,61600,123200,281600,79200,44000,48400,140800,110000,171600,206800,352000,,220000,184800,242000,74800,8800,17600,118800,132000,123200,96800,114400,74800,13200,39600,13200,13200,13200,44000,88000,255200,241371,26400,61600,17600,14400,,1452,13200,17600,325600,52800,140800,52800,,13200,30800,4400,7304,26400,,17600,13200,,22000,13200,,2904,8800,66000,39600,22000,10252,4400,,,44000,8800,66000,,4400,,4400,4400,5852,19052,11704,22000,13200,,,13200,1452,2904,8800,13200,22000,30800,149600,127600,162800,,83600,39600,57200,13200,61600,110000,74800,44000,96800,52800,96800,66000,22000,,22000,13200,26400,26400,22000,13200,,4400,,30800,13200,57200,22000,44000,39600,30800,13200,,57200,13200,22000,57200,22000,22000,30800,26400,13200,11704,8800,26400,44000,52800,35200,44000,14,35200,17600,8800,8800,83600,74800,92400,26400,39600,39600,26400,17600,19052,23452,74800,114400,114400,26400,114400,39600,48400,39600,17600,8800
Thalassiosira,"Thalassiosira angulata (large, >20µm)",5852,,26400,13200,66000,8800,8800,8800,8800,2904,48400,83600,114400,66000,13200,,44000,48400,52800,13200,17600,,8800,8800,,44000,17600,17600,26400,8800,8800,,,4400,,,,1452,8800,2904,8800,8800,2904,8800,1452,1452,2489,,8800,8800,1584,1452,1452,,,880,,,,8800,26400,13200,,,2904,,,,1452,13200,,,,1452,13200,8800,4400,1452,,4400,,,,,,,,,8800,1452,2904,1452,,,5852,8800,4400,,10252,4400,101200,44000,52800,,4400,1452,,,1452,,4400,,4400,4400,13200,8800,,8800,1452,1452,,8800,4400,14652,5852,30800,4400,8800,13200,4400,4400,4400,17600,8800,13200,17600,13200,8800,,13200,5852,1452,4400,,,2904,4400,4400,1452,4400,4400,,1452,145200,4400,,4400,4400,,,1452,,4400,2904,1452,1452,1452,8800,5852,,8800,2904,7304,7304,2904,1452,2904,4400,4400,5852
,Thalassiosira bioculata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Thalassiosira eccentrica,,,,,,,,,,,,,,,,,,,,2904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Thalassiosira hyalina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Thalassiosira nordenskioldii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2904,2904,,,,1452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Thalassiosira rotula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Thalassiosira weissflogii,,,,,,,,,,,,,17600,13200,,,,,,,30800,2904,,,,,,,,,,4400,,,,,,,,,,,,1452,,,,,,,1584,2904,,,,,,,2904,4400,4400,13200,2904,,,,,1452,8800,1452,,,,,,,,,,1452,8800,,,,,,1452,,2904,,,,4400,,,,13200,,1452,4400,154000,,,,13200,1452,,,,,4400,8800,8800,4400,,,,8800,1452,,,,,,,,,,,,,,,,,,,,,,,5852,,2904,5852,,,1452,,,,,13200,,,8800,,4400,,,17600,,,,,2904,,,,,17600,8800,26400,,,1452,,,,
,auxospore of Thalassiosira,,,,,,,,,,,,,,,,,,,,,,,,,,,,2904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Thalassiosira spp.1 (medium-large, 15-20µm",4400,,7304,4400,167200,26400,8800,17600,13200,13200,198000,184800,224400,158400,30800,,123200,132000,74800,26400,39600,35200,13200,30800,83600,136400,118800,66000,52800,13200,22000,8800,1452,26400,,,,1452,1452,13200,8800,13200,13200,39600,8800,13200,15086,8800,35200,57200,,2904,,1452,,2904,,,,44000,114400,70400,26400,35200,2904,,1452,,30800,30800,88000,17600,8800,30800,26400,22000,48400,30800,4400,39600,44000,,,,1452,1452,4400,,11704,4400,4400,,,26400,2904,17600,8800,13200,4400,8800,422400,1826000,528000,26400,17600,8800,17600,,2904,,39600,57200,13200,39600,,1452,8800,1452,8800,,8800,,4400,,13200,4400,13200,8800,4400,8800,35200,8800,13200,8800,8800,4400,4400,30800,,8800,5852,26400,13200,8800,8800,17600,17600,17600,4400,13200,4400,4400,17600,39600,22000,8800,8800,35200,8800,4400,22000,22000,22000,,4400,8800,13200,22000,8800,8800,8800,4400,13200,8800,4400,8800,8800,8800,8800,11704
,"Thalassiosira spp.2 (medium-small, 10-15µm)",4400,,22000,17600,92400,17600,26400,22000,13200,13200,70400,114400,233200,127600,30800,,105600,105600,79200,52800,57200,39600,52800,52800,57200,101200,70400,57200,30800,8800,35200,13200,4400,8800,,4400,4400,2904,1452,4400,52800,61600,48400,88000,26400,8800,22629,2904,48400,154000,1584,2904,,,,1452,,,,48400,149600,35200,52800,13200,,,13200,,52800,48400,88000,17600,8800,13200,52800,52800,57200,70400,44000,30800,44000,,,,1452,1452,,4400,8800,4400,1452,1452,2904,17600,8800,4400,26400,4400,5852,13200,198000,2090000,880000,22000,13200,,8800,,4400,,52800,13200,13200,17600,,,8800,17600,52800,1452,4400,8800,8800,4400,17600,4400,13200,13200,4400,4400,26400,17600,13200,17600,22000,8800,30800,8800,,13200,8800,13200,13200,13200,8800,22000,13200,57200,8800,52800,8800,17600,17600,8800,22000,35200,48400,66000,26400,,17600,22000,17600,4400,13200,8800,8800,30800,14652,10252,30800,35200,39600,22000,17600,13200,8800,22000,22000,8800
,"Thalassiosira spp.3 (small, <10µm)",39600,,39600,22000,66000,30800,8800,17600,17600,26400,127600,92400,123200,66000,22000,,48400,110000,61600,154000,66000,61600,35200,44000,74800,110000,92400,30800,61600,8800,224400,180400,132000,22000,,26400,17600,8800,,13200,79200,660000,206800,180400,294800,105600,120686,48400,110000,136400,2928000,1408000,83600,88000,26400,92400,57200,88000,,176000,2684000,5764000,506000,193600,396000,396000,17600,44000,149600,96800,132000,352000,220000,264000,176000,44000,74800,96800,83600,88000,396000,,35200,,1452,2904,2904,4400,35200,26400,132000,66000,44000,101200,44000,96800,26400,26400,39600,52800,1056000,1056000,176000,66000,22000,26400,39600,26400,83600,,61600,52800,39600,39600,39600,26400,61600,88000,,22000,22000,57200,44000,44000,57200,13200,70400,26400,8800,17600,132000,66000,35200,52800,61600,88000,30800,79200,,35200,61600,52800,26400,26400,26400,22000,30800,52800,44000,57200,13200,48400,39600,66000,35200,83600,17600,70400,44000,30800,66000,79200,132000,39600,22000,8800,17600,26400,11704,17600,48400,96800,74800,66000,48400,52800,48400,61600,39600,30800
Thalassiothrix,Thalassiothrix longissima,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trachyneis,Trachyneis aspera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triceratium,Triceratium spp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trigonium,Trigonium spp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toxarium ,Toxarium spp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diatom1,"unknown diatom, six-horn star shape, ~10um)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other diatoms,Other diatoms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dinoflagellate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akashiwo,Akashiwo sanguinea,,,,,,,,,,,,1452,,,,,,,,,,,,,,,,,,1452,,,,,,,,,,1452,,,,,,,,,,,,1452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1452,1452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexandrium,Alexandrium spp.,,,,,,,,,1452,1452,,,,,,,,,,,2904,,,,,,,,,,2904,,,,,,1452,,2904,,1452,1452,,,,,,,,, ,1452,,1452,,,,,,,,,,,,,,,,,,,,,,,,,,,4400,,1452,,,,,,,4400,,1452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Alexandrium tamarense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1584,1452,,,,,,,,,1452,,,,,,,,,,,,,,,,,,,,,,,,,1452,,,,,,,,,,2904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
