"(Note: S: surface water sample, B: bottom water sample",cell abundance (cells/L),A4S,B3S,C1S,D3S Note: low cell abundance,E1S Note: low cell abundance,F2S Note: low cell abundance,H4S Note: low cell abundance,I2S Note: low cell abundance,J2S Note: low cell abundance,K2S Note: low cell abundance,A4B,B3B,C1B,D3B ,E1B Note: low cell abundance,F2B NOTE: large amount of debris,H4B NOTE: large amount of debris,I2B  NOTE: large amount of debris,J2B NOTE: large amount of debris,K2B Note: low cell abundance,A4S Skeletonema bloom,B3S Skeletonema bloom,C1S Skeletonema bloom,D3S  ,E1S,F2S Note: low cell abundance,H4S Note: low cell abundance,I2S  Note: low cell abundance,J2 S  Note: low cell abundance,K2 Note: low cell abundance,A4B Skeletonema bloom,B3B Skeletonema bloom,C1B Skeletonema bloom,D3B  ,E1B,F2B Note: low cell abundance,H4B Note: low cell abundance,I2B  Note: low cell abundance,J2B  Note: low cell abundance,K2B Note: low cell abundance,A4S  Skeletonema bloom,B3S ,C1S ,D3,E1S Note: low cell abundance,F2S Skeletonema bloom,H4S,I2S High biomass,J2S  NOTE: large amount of debris,K2S Note: low cell abundance,"A4B  Skeletonema bloom, VERY high biomass",B3B Skeletonema bloom,C1B Skeletonema bloom,"D3B Note: Skeletonema bloom, high cell abundance, large amount of debris","E1B  Note: Skeletonema bloom, high cell abundance, large amount of debris","F2B Note: Skeletonema bloom, high cell abundance, large amount of debris",H4B Note: Skeletonema bloom,"I2B Note: Skeletonema bloom, high cell abundance",J2B  NOTE: large amount of debris,K2B ,A4S,B3S ,C1S ,D3S   NOTE: large amount of debris,E1S  Note: low cell abundance,F2S,H4S ,I2S,J2S  NOTE: large amount of debris,K2S ,A4B,B3B,C1B,D3B   NOTE: large amount of debris,E1B  Note: low cell abundance,F2B  NOTE: large amount of debris,H4B  NOTE: large amount of debris,I2B  NOTE: large amount of debris,J2B  NOTE: large amount of debris,K2B Note: low cell abundance,A4S   Note: small Guinardia delicatula BLOOM. ,B3S  Note: small Guinardia delicatula bloom. ,C1S  Note: small Guinardia delicatula BLOOM. ,D3S ,E1S ,F2S Note: small Guinardia delicatula BLOOM.,H4S  Note: small Guinardia delicatula BLOOM.,I2S,J2S,K2S  NOTE: large amount of debris,A4B  NOTE: large amount of debris,B3B  ,C1B ,D3B,E1B  NOTE: large amount of debris,F2B,H4B,I2B  NOTE: large amount of debris,J2B  NOTE: large amount of debris,K2B  NOTE: large amount of debris,"A4S NOTE: Thalassiosira spp.3 (small, <10µm) BLOOM","B3S Note: Thalassiosira spp.3 (small, <10µm) BLOOM",C1S ,"D3S Note: Thalassiosira spp.3 (small, <10µm) BLOOM",E1S NOTE Note: low cell abundance,F2S ,H4S NOTE: Note: low cell abundance,I2S NOTE: VERY Note: low cell abundance,J2S  NOTE: large amount of debris,K2S,A4B  NOTE: large amount of debris,"B3B Note: Thalassiosira spp.3 (small, <10µm) BLOOM",C1B ,D3B ,E1B ,F2B ,H4B NOTE: Note: low cell abundance,I2B NOTE: Note: low cell abundance,J2B  NOTE: large amount of debris,K2B NOTE: Note: low cell abundance,A4S  Note:  small bloom of Cerataulina pelagica,"B3S  Note:  small blooms of Thalassionema nitzschiodes, Thalassiosira spp.3 (small, <10µm), and Cerataulina pelagica","C1S Note: blooms of Cerataulina pelagica and Thalassiosira spp.3 (small, <10µm)",D3S ,E1S ,"F2S Note: small bloom of Thalassiosira spp.3 (small, <10µm)",H4S,I2S NOTE: Cerataulina pelagica BLOOM,J2S Note: no sample,K2S NOTE: Cerataulina pelagica BLOOM,A4B NOTE: large amount of debris,B3B,C1B,D3B,E1B,F2B,H4B,I2B NOTE: Cerataulina pelagica BLOOM,J2B Note: no sample,K2B NOTE: Cerataulina pelagica BLOOM,A4S Note: Low cell abundance,B3S ,C1S,D3S ,E1S Note: very low cell abundance,F2S Note: very low cell abundance,H4S Note: very low cell abundance,I2S,J2S No sample,K2S,A4B NOTE: large amount of debris,B3B,C1B NOTE: Low cell abundance,D3B NOTE: large amount of debris,E1B NOTE: large amount of debris,F2S,H4B,I2B,J2B No sample,K2B,"A4S Note:  bloom of Thalassiosira spp.3 (small, <10µm)",B3S ,C1S,D3S,E1S,F2S,H4S Note: very low cell abundance,I2S,J2S,K2S,A4B NOTE: large amount of debris,B3B NOTE: large amount of debris,C1B NOTE: large amount of debris,D3B NOTE: large amount of debris,"E1B NOTE: large amount of debris, Low cell abundance",F2B NOTE: large amount of debris,H4B  NOTE: Low cell abundance,I2B,J2B,K2B,A4S,B3S,C1S,D3S,E1S,F2S,H4S,I2S,J2S,K2S,A4B NOTE: debris,B3B NOTE: debris,C1B,D3B,E1B,F2B,H4B,I2B,J2B,K2B,A4S Note: Eucampia zodiacus bloom,B3S Note: Eucampia zodiacus bloom,C1S Note: Eucampia zodiacus bloom,D3S,E1S,F2S,H4S,I2S Note: low cell abundance,J2S Note: low cell abundance,K2S Note: low cell abundance,A4B Note: Eucampia zodiacus bloom,B3B Note: Eucampia zodiacus bloom,C1B Note: Eucampia zodiacus bloom,D3B,E1B Note: low cell abundance,F2B,H4B ,I2B Note: low cell abundance,J2B Note: low cell abundance,K2B Note: low cell abundance,A4S ,B3S,C1S,D3S,E1S,F2 S ,H4S ,I2S  Note: low cell abundance,J2S Note: debris,K2S Note: low cell abundance,A4B NOTE: large amount of debris,B3B,C1B NOTE: large amount of debris,D3B Note: low cell abundance,E1B,F2B ,H4B Note: debris,I2B Note: debris,J2B Note: debris,K2B Note: debris
Pleurosigma,Pleurosigma angulatum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pleurosigma,Pleurosigma directum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pleurosigma falx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pleurosigma normanii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pleurosigma spp.,,,,1452,4400,,,,,,,1452,,,,1452,,4400,1452,1452,,,,,,,,,1452,1452,,,,,,,,,1452,,,,,1452,,1452,,1452,1452,,1452,,,1452,2904,,4400,,,1452,2904,,,,,,,,,,1452,2904,,,,,,1452,,,,,,,,,,,1452,,,,1452,,1452,,,,1452,8800,,,2904,,1452,,,,8800,1452,4400,8800,4400,2904,8800,4400,1452,,13200,,,,1452,,880,880,,,,1452,4400,1452,,,1452,,1452,13200,,1452,,,1452,7304,,,,13200,,,,1452,,,8800,1452,5852,4400,,1452,,,,,,2904,,2904,1452,,,,1452,1452,,8800,,,1452,,,,1452,,1452,,,,8800,,,,,,1452,,,,,,,8800,1452,4400,1452,,,,,,8800,1452,,13200,,1452,1452,,1452,,,,704,,,,8800,,1452,,1452,,1452,1452,,,1452,1452,1452,
Pseudo-nitzschia,Pseudo-nitzschia spp.,,,,,,,17600,,,,,,,,,,,4400,,1452,,,,,,,1452,,,,,,,,,,,,,,,,,1452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1452,,,,,,,,,,,,,,,,,,,,,,,,1452,,,,,,,,,,,,,,,,1452,,4400,,1452,,13200,,,,5852,,22000,,79200,,,,,,13200,5852,10252,,13200,,,2904,,,,,,44000,,,2904,,,,,,1452,13200,17600,,5852,,2904,1452,,,1452,13200,7304,,1452,,,,4400,,2904,22000,13200,88000,48400,74800,30800,17600,,4400,8800,,,39600,,,,4400,30800,13200,13200,1452,1452,,,,,,,,4400,8800,,,,,,,2904,,13200,,
,Pseudo-nitzschia delicatissima,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pseudo-nitzschia pungens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,730,,,,,,,,,,,,,,,,,,10252,,5852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhabdonema,Rhabdonema adriaticum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rhaphoneis rhomoides,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rhaphoneis spp.,,,,,,,1452,1452,1452,,,,,,,,,8800,7304,1452,,,,,,,,,4400,8800,1452,,,,,,,,4400,2904,,,,,,,,1452,,1452,,,,,,,1452,2904,8800,1452,,,,,,,,,,1452,,,,,,1452,8800,1452,4400,1452,,,,,,,,1452,1452,,,,,,1452,,2904,13200,22000,13200,,,,,,,,,17600,13200,,,,,1452,,,,17600,1452,,,,,,,,,,1452,,,,,,,4400,8800,,,,,,,,,,,,2904,,,,,1452,,,,,,,,,,,,,,1452,,,,,733,,,1452,2904,17600,1452,,,,,,1452,1452,,1452,8800,,,1452,,,,,13200,1452,1452,,,,,,,,,,,,,,1452,,,,,4400,,1452,,,,,,,2904,13200,,,,,,1452,1452,2904,,2904,2904
Rhizosolenia,Rhizosolenia alata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rhizosolenia calar-avis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rhizosolenia longiseta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rhizosolenia pungens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rhizosolenia robusta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rhizosolenia setigera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rhizosolenia stolterfothii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rhizosolenia styliformis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rhizosolenia spp.,,,,,,,,1452,,,,,1452,,,,1452,,,,,,,,,,,,,,,,,,,,,,,1452,,,,,,,,,1452,1452,4400,,,,,,,,,1452,,,1452,,,,,,,,,,,,,,,,,,,4400,,,,,,,,,,,,,,,,,1452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4400,,1452,1452,,,,,,5852,5852,,8800,,8800,4400,,,2904,1452,,,8800,2904,2904,,1452,1452,,,,,1452,,,,,,,,,,1452,,733,1452,,,1452,,,1452,734.8,1452,,,,,,,,8800,8800,,,,,,,,,4400,13200,,,,2904,,,,,,,1452,1452,8800,2904,,2904,5852,,2904,1452,1452,,1452,,2904,,,,,,2904,704,2904,660,8800,,7304,660,,
Rhoicosphenia,Rhoicosphenia curvata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhopalodia,Rhopalodia musculus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schröderella,Schröderella delicatula ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seminavis,Seminavis robusta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skeletonema,Skeletonema spp.,162800,92400,105600,8800,,,,83600,13200,13200,154000,101200,61600,57200,13200,,39600,,17600,,5042400,4356000,3568400,2754400,2169200,184800,215600,145200,127600,202400,2450800,1377200,1896400,814000,180400,154000,70400,105600,66000,39600,3559600,607200,567600,1236400,92400,2068000,910800,2569600,563200,74800,23689600,5935600,6133600,20961600,11994400,7972800,2811600,6212800,1320000,299200,1192400,1988800,1619200,132000,30800,48400,30800,17600,101200,48400,466400,114400,259600,286000,224400,316800,110000,237600,66000,8800,123200,48400,17600,,8800,57200,17600,22000,180400,105600,,17600,13200,92400,44000,110000,26400,233200,180400,110000,132000,1672000,528000,704000,44000,875600,57200,,52800,88000,968000,259600,220000,220000,88000,783200,,26400,74800,26400,48400,88000,,39600,,,,,,8800,66000,,,44000,61600,17600,,8800,,39600,,,13200,61600,13200,1452,,132000,,211200,,17600,10252,,39600,57200,,167200,,70400,17600,,,,,,,26400,,,,26400,17600,,17600,5852,5852,52800,118800,13200,1452,,,,,,,,,,,8800,8800,,,39600,,,,7304,176000,,,22000,17600,26400,13200,,39600,101200,,35200,52800,1452,5852,,,,,17600,321200,690800,171600,,,127600,110000,,17600,13200,101200,79200,52800,52800,61600,30800,,35200,17600,
Stephanopyxis,Stephanopyxis turris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4400,4400,,,,,,5852,,,,5852,,,,,,,,,,,,,,,,,,,,,,,,,,4400,,,,,2904,2904,,10252,,,,,,,,,,,,,,,,,,,,,,,,,,17600
Streptotheca,Streptotheca indica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Surirella,Surirella fluminensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Surirella spp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thalassionema,Thalassionema frauenfeldii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22000,,,,,,,,,,,,,
,Thalassionema nitzschiodes,17600,26400,8800,5852,22000,30800,17600,13200,,1452,61600,26400,13200,17600,70400,22000,13200,35200,5852,2904,44000,26400,140800,57200,39600,39600,52800,35200,61600,123200,79200,61600,180400,26400,26400,66000,13200,101200,8800,13200,123200,30800,13200,92400,26400,211200,92400,123200,123200,30800,426800,101200,418000,624800,184800,215600,202400,154000,242000,57200,44000,83600,114400,294800,237600,426800,220000,237600,167200,233200,140800,215600,184800,180400,444400,426800,453200,422400,281600,74800,22000,,,8800,,44000,30800,26400,114400,158400,,4400,39600,136400,136400,35200,123200,167200,409200,123200,44000,17600,52800,13200,44000,79200,66000,105600,66000,88000,57200,66000,52800,101200,88000,83600,79200,70400,118800,30800,17600,4356000,3916000,26400,88000,206800,352000,,,35200,,22000,39600,39600,39600,26400,30800,22000,,,1452,,,17600,,22000,8800,8800,,,13200,13200,10252,35200,44000,4400,17600,8800,,7304,,,5852,,,2904,,8800,17600,,,17600,13200,,,13200,,2904,17600,5852,8800,61600,26400,30800,30800,8800,2904,8800,8800,8800,4400,13200,61600,39600,26400,17600,26400,13200,13200,8800,26400,30800,17600,5852,1452,8800,1452,8800,1452,,,8800,17600,,10252,1452,17600,,8800,,48400,57200,39600,26400,35200,39600,,,4400,1452,35200,26400,44000,48400,,8800,22000,66000,17600,30800
Thalassiosira,"Thalassiosira angulata (large, >20µm)",22000,,2904,,13200,2904,1452,2904,8800,1452,4400,8800,4400,4400,1452,7304,1452,13200,2904,1452,8800,35200,2904,8800,8800,,1452,,30800,17600,2904,13200,4400,,2904,2904,2904,13200,8800,13200,8800,,4400,35200,8800,44000,,8800,13200,4400,13200,1452,13200,39600,48400,22000,26400,13200,22000,48400,8800,13200,30800,1452,,2904,,,22000,13200,13200,2904,,1452,2904,2904,8800,4400,,4400,88000,211200,88000,22000,,,,,,1452,8800,5852,1452,1452,1452,,4400,17600,22000,4400,22000,4400,,1452,,8800,1452,,1452,1452,4400,13200,8800,22000,4400,13200,,2904,4400,2904,1452,,2904,4400,,1452,1452,,,1452,44000,,1452,,5852,26400,10252,8800,,,2904,,,1452,1452,4400,,,,4400,1452,1452,2904,17600,13200,,2904,,,1452,4400,,,1452,4400,1452,1452,1452,1452,2904,8800,1452,2904,2904,1452,22000,,1452,2904,748,,,,,5852,,2904,,1452,2904,,,8800,,,2904,,2904,13200,1452,1452,1452,2904,8800,1452,2904,8800,2904,8800,1452,1452,8800,4400,1452,1452,13200,13200,1452,8800,4400,,,,8800,1452,,,1452,,2904,1452,1452,8800,1452,,,4400,8800,,2904
,Thalassiosira bioculata,,,,,,,,,,,39600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Thalassiosira eccentrica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Thalassiosira hyalina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Thalassiosira nordenskioldii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Thalassiosira rotula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
